version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
c	Genesis	11	15	961	T		!	crossref	[Genesis 5:4 ~75%](Genesis 5:4) , [7 ~79%](Genesis 5:7) , [10 ~76%](Genesis 5:10) , [16 ~83%](Genesis 5:16) , [19 ~76%](Genesis 5:19) , [26 ~83%](Genesis 5:26) , [30 ~78%](Genesis 5:30) ; [11:11 ~78%](Genesis 11:11) , [13 ~86%](Genesis 11:13) , [17 ~86%](Genesis 11:17)
c	Genesis	11	15	961	T		!	crossref	[Genesis 11:19 ~83%](Genesis 11:19) , [21 ~80%](Genesis 11:21) , [23 ~75%](Genesis 11:23) , [25 ~77%](Genesis 11:25)
c	Genesis	11	17	967	T		!	crossref	[Genesis 5:4 ~75%](Genesis 5:4) , [7 ~77%](Genesis 5:7) , [16 ~79%](Genesis 5:16) , [19 ~79%](Genesis 5:19) , [26 ~79%](Genesis 5:26) , [30 ~76%](Genesis 5:30) ; [11:11 ~75%](Genesis 11:11) , [13 ~89%](Genesis 11:13) , [15 ~86%](Genesis 11:15) , [19 ~78%](Genesis 11:19)
c	Genesis	11	17	967	T		!	crossref	[Genesis 11:21 ~83%](Genesis 11:21) , [23 ~78%](Genesis 11:23) , [25 ~75%](Genesis 11:25)
c	Genesis	11	21	979	T		!	crossref	[Genesis 5:4 ~80%](Genesis 5:4) , [7 ~84%](Genesis 5:7) , [10 ~78%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [16 ~79%](Genesis 5:16) , [19 ~84%](Genesis 5:19) , [30 ~78%](Genesis 5:30) ; [11:11 ~80%](Genesis 11:11) , [13 ~79%](Genesis 11:13) , [15 ~80%](Genesis 11:15)
c	Genesis	11	21	979	T		!	crossref	[Genesis 11:17 ~83%](Genesis 11:17) , [19 ~88%](Genesis 11:19) , [23 ~78%](Genesis 11:23) , [25 ~84%](Genesis 11:25)
c	Genesis	11	23	985	T		!	crossref	[Genesis 5:4 ~77%](Genesis 5:4) , [19 ~83%](Genesis 5:19) ; [11:11 ~79%](Genesis 11:11) , [13 ~76%](Genesis 11:13) , [15 ~75%](Genesis 11:15) , [17 ~78%](Genesis 11:17) , [19 ~80%](Genesis 11:19) , [21 ~78%](Genesis 11:21) , [25 ~77%](Genesis 11:25)
c	Genesis	25	4	2513	T		!	crossref	[Chronica_I 1:33 ~100%](Chronica_I 1:33)
c	Chronica_I	1	33	50	T		!	crossref	[Genesis 25:4 ~100%](Genesis 25:4)
c	Genesis	25	31	2603	T		!	crossref	[Genesis 25:33 ~90%](Genesis 25:33)
