version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
2021	Genesis	5	11	472	T		!	crossref	[Genesis 5:8 ~84%](Genesis 5:8) , [14 ~86%](Genesis 5:14) , [17 ~78%](Genesis 5:17) , [20 ~87%](Genesis 5:20) , [23 ~80%](Genesis 5:23) , [27 ~83%](Genesis 5:27) , [31 ~81%](Genesis 5:31) ; [9:29 ~79%](Genesis 9:29)
2021	Genesis	9	29	846	T		!	crossref	[Genesis 5:5 ~83%](Genesis 5:5) , [11 ~79%](Genesis 5:11) , [17 ~78%](Genesis 5:17) , [27 ~77%](Genesis 5:27)
2021	Genesis	5	16	484	T		!	crossref	[Genesis 5:4 ~78%](Genesis 5:4) , [7 ~84%](Genesis 5:7) , [10 ~79%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [19 ~78%](Genesis 5:19) , [26 ~79%](Genesis 5:26) , [30 ~78%](Genesis 5:30) ; [11:11 ~76%](Genesis 11:11) , [13 ~77%](Genesis 11:13) , [15 ~83%](Genesis 11:15)
2021	Genesis	5	16	484	T		!	crossref	[Genesis 11:17 ~79%](Genesis 11:17) , [19 ~81%](Genesis 11:19) , [21 ~79%](Genesis 11:21) , [25 ~78%](Genesis 11:25)
2021	Genesis	5	19	492	T		!	crossref	[Genesis 5:4 ~86%](Genesis 5:4) , [7 ~82%](Genesis 5:7) , [10 ~79%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [16 ~78%](Genesis 5:16) , [30 ~76%](Genesis 5:30) ; [11:11 ~81%](Genesis 11:11) , [13 ~81%](Genesis 11:13) , [15 ~76%](Genesis 11:15) , [17 ~79%](Genesis 11:17)
2021	Genesis	5	19	492	T		!	crossref	[Genesis 11:19 ~81%](Genesis 11:19) , [21 ~84%](Genesis 11:21) , [23 ~83%](Genesis 11:23) , [25 ~80%](Genesis 11:25)
2021	Genesis	10	2	850	T		!	crossref	[Chronica_I 1:5 ~100%](Chronica_I 1:5)
2021	Chronica_I	1	5	5	T		!	crossref	[Genesis 10:2 ~100%](Genesis 10:2)
2021	Genesis	10	6	856	T		!	crossref	[Chronica_I 1:8 ~100%](Chronica_I 1:8)
2021	Chronica_I	1	8	8	T		!	crossref	[Genesis 10:6 ~100%](Genesis 10:6)
2021	Genesis	10	7	857	T		!	crossref	[Chronica_I 1:9 ~100%](Chronica_I 1:9)
2021	Chronica_I	1	9	9	T		!	crossref	[Genesis 10:7 ~100%](Genesis 10:7)
