version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
4b	Genesis	11	15	963	T		!	crossref	[Genesis 5:4 ~75%](Genesis 5:4) , [7 ~79%](Genesis 5:7) , [10 ~76%](Genesis 5:10) , [16 ~83%](Genesis 5:16) , [19 ~76%](Genesis 5:19) , [26 ~83%](Genesis 5:26) , [30 ~78%](Genesis 5:30) ; [11:11 ~78%](Genesis 11:11) , [13 ~86%](Genesis 11:13) , [17 ~86%](Genesis 11:17)
4b	Genesis	11	15	963	T		!	crossref	[Genesis 11:19 ~83%](Genesis 11:19) , [21 ~80%](Genesis 11:21) , [23 ~75%](Genesis 11:23) , [25 ~77%](Genesis 11:25)
4b	Genesis	11	17	969	T		!	crossref	[Genesis 5:4 ~75%](Genesis 5:4) , [7 ~77%](Genesis 5:7) , [16 ~79%](Genesis 5:16) , [19 ~79%](Genesis 5:19) , [26 ~79%](Genesis 5:26) , [30 ~76%](Genesis 5:30) ; [11:11 ~75%](Genesis 11:11) , [13 ~89%](Genesis 11:13) , [15 ~86%](Genesis 11:15) , [19 ~78%](Genesis 11:19)
4b	Genesis	11	17	969	T		!	crossref	[Genesis 11:21 ~83%](Genesis 11:21) , [23 ~78%](Genesis 11:23) , [25 ~75%](Genesis 11:25)
4b	Genesis	11	21	981	T		!	crossref	[Genesis 5:4 ~80%](Genesis 5:4) , [7 ~84%](Genesis 5:7) , [10 ~78%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [16 ~79%](Genesis 5:16) , [19 ~84%](Genesis 5:19) , [30 ~78%](Genesis 5:30) ; [11:11 ~80%](Genesis 11:11) , [13 ~79%](Genesis 11:13) , [15 ~80%](Genesis 11:15)
4b	Genesis	11	21	981	T		!	crossref	[Genesis 11:17 ~83%](Genesis 11:17) , [19 ~88%](Genesis 11:19) , [23 ~78%](Genesis 11:23) , [25 ~84%](Genesis 11:25)
4b	Genesis	11	23	987	T		!	crossref	[Genesis 5:4 ~77%](Genesis 5:4) , [19 ~83%](Genesis 5:19) ; [11:11 ~79%](Genesis 11:11) , [13 ~76%](Genesis 11:13) , [15 ~75%](Genesis 11:15) , [17 ~78%](Genesis 11:17) , [19 ~80%](Genesis 11:19) , [21 ~78%](Genesis 11:21) , [25 ~77%](Genesis 11:25)
4b	Genesis	25	4	2511	T		!	crossref	[Chronica_I 1:33 ~100%](Chronica_I 1:33)
4b	Chronica_I	1	33	50	T		!	crossref	[Genesis 25:4 ~100%](Genesis 25:4)
4b	Genesis	25	31	2601	T		!	crossref	[Genesis 25:33 ~90%](Genesis 25:33)
4b	Genesis	25	33	2607	T		!	crossref	[Genesis 25:31 ~90%](Genesis 25:31)
4b	Genesis	30	10	3266	T		!	crossref	[Genesis 30:12 ~85%](Genesis 30:12)
4b	Genesis	30	12	3270	T		!	crossref	[Genesis 30:7 ~77%](Genesis 30:7) , [10 ~85%](Genesis 30:10)
4b	Genesis	36	21	4148	T		!	crossref	[Genesis 36:30 ~75%](Genesis 36:30)
4b	Genesis	36	30	4169	T		!	crossref	[Genesis 36:21 ~75%](Genesis 36:21)
4b	Genesis	36	22	4150	T		!	crossref	[Chronica_I 1:39 ~90%](Chronica_I 1:39)
4b	Chronica_I	1	39	58	T		!	crossref	[Genesis 36:22 ~90%](Genesis 36:22)
4b	Genesis	36	33	4176	T		!	crossref	[Chronica_I 1:44 ~100%](Chronica_I 1:44)
4b	Chronica_I	1	44	71	T		!	crossref	[Genesis 36:33 ~100%](Genesis 36:33)
4b	Genesis	36	34	4178	T		!	crossref	[Chronica_I 1:45 ~100%](Chronica_I 1:45)
4b	Chronica_I	1	45	73	T		!	crossref	[Genesis 36:34 ~100%](Genesis 36:34)
4b	Genesis	36	35	4180	T		!	crossref	[Chronica_I 1:46 ~100%](Chronica_I 1:46)
4b	Chronica_I	1	46	75	T		!	crossref	[Genesis 36:35 ~100%](Genesis 36:35)
4b	Genesis	36	36	4184	T		!	crossref	[Chronica_I 1:47 ~100%](Chronica_I 1:47)
4b	Chronica_I	1	47	79	T		!	crossref	[Genesis 36:36 ~100%](Genesis 36:36)
4b	Genesis	36	37	4186	T		!	crossref	[Chronica_I 1:48 ~100%](Chronica_I 1:48)
4b	Chronica_I	1	48	81	T		!	crossref	[Genesis 36:37 ~100%](Genesis 36:37)
4b	Genesis	36	38	4188	T		!	crossref	[Chronica_I 1:49 ~100%](Chronica_I 1:49)
4b	Chronica_I	1	49	83	T		!	crossref	[Genesis 36:38 ~100%](Genesis 36:38)
4b	Genesis	36	39	4190	T		!	crossref	[Chronica_I 1:50 ~84%](Chronica_I 1:50)
4b	Chronica_I	1	50	85	T		!	crossref	[Genesis 36:39 ~84%](Genesis 36:39)
4b	Genesis	36	41	4196	T		!	crossref	[Chronica_I 1:52 ~100%](Chronica_I 1:52)
4b	Chronica_I	1	52	91	T		!	crossref	[Genesis 36:41 ~100%](Genesis 36:41)
4b	Genesis	36	42	4197	T		!	crossref	[Chronica_I 1:53 ~100%](Chronica_I 1:53)
4b	Chronica_I	1	53	92	T		!	crossref	[Genesis 36:42 ~100%](Genesis 36:42)
4b	Genesis	39	15	4594	T		!	crossref	[Genesis 39:18 ~87%](Genesis 39:18)
4b	Genesis	39	18	4608	T		!	crossref	[Genesis 39:13 ~79%](Genesis 39:13) , [15 ~87%](Genesis 39:15)
4b	Genesis	41	2	4720	T		!	crossref	[Genesis 41:18 ~86%](Genesis 41:18)
4b	Genesis	41	18	4777	T		!	crossref	[Genesis 41:2 ~86%](Genesis 41:2)
4b	Genesis	41	6	4729	T		!	crossref	[Genesis 41:23 ~92%](Genesis 41:23)
4b	Genesis	41	23	4790	T		!	crossref	[Genesis 41:6 ~92%](Genesis 41:6)
4b	Genesis	42	13	4965	T		!	crossref	[Genesis 42:32 ~78%](Genesis 42:32)
4b	Genesis	42	32	5056	T		!	crossref	[Genesis 42:13 ~78%](Genesis 42:13)
4b	Genesis	43	5	5117	T		!	crossref	[Genesis 43:3 ~76%](Genesis 43:3) ; [44:26 ~75%](Genesis 44:26)
4b	Genesis	44	26	5383	T		!	crossref	[Genesis 43:5 ~75%](Genesis 43:5)
4b	Genesis	46	9	5573	T		!	crossref	[Chronica_I 5:3 ~80%](Chronica_I 5:3)
4b	Chronica_I	5	3	375	T		!	crossref	[Genesis 46:9 ~80%](Genesis 46:9)
4b	Genesis	46	10	5574	T		!	crossref	[Exodus 6:15 ~84%](Exodus 6:15)
4b	Exodus	6	15	620	T		!	crossref	[Genesis 46:10 ~84%](Genesis 46:10)
4b	Genesis	46	11	5575	T		!	crossref	[Numeri 3:17 ~76%](Numeri 3:17) . [Chronica_I 5:27 ~100%](Chronica_I 5:27) ; [6:1 ~94%](Chronica_I 6:1)
4b	Chronica_I	5	27	428	T		!	crossref	[Genesis 46:11 ~100%](Genesis 46:11) . [Numeri 3:17 ~76%](Numeri 3:17) . [Chronica_I 6:1 ~94%](Chronica_I 6:1)
4b	Genesis	46	17	5586	T		!	crossref	[Chronica_I 7:30 ~78%](Chronica_I 7:30)
4b	Chronica_I	7	30	613	T		!	crossref	[Genesis 46:17 ~78%](Genesis 46:17)
4b	Genesis	46	24	5600	T		!	crossref	[Chronica_I 7:13 ~85%](Chronica_I 7:13)
4b	Chronica_I	7	13	573	T		!	crossref	[Genesis 46:24 ~85%](Genesis 46:24)
4b	Genesis	49	30	6005	T		!	crossref	[Genesis 50:13 ~91%](Genesis 50:13)
4b	Genesis	50	13	6067	T		!	crossref	[Genesis 49:30 ~91%](Genesis 49:30)
4b	Genesis	50	25	6118	T		!	crossref	[Exodus 13:19 ~77%](Exodus 13:19)
4b	Exodus	13	19	1485	T		!	crossref	[Genesis 50:25 ~77%](Genesis 50:25)
4b	Exodus	6	10	603	T		!	crossref	[Genesis 8:15 ~76%](Genesis 8:15) . [Exodus 7:8 ~77%](Exodus 7:8) ; [13:1 ~100%](Exodus 13:1) ; [14:1 ~100%](Exodus 14:1) ; [16:11 ~100%](Exodus 16:11) ; [25:1 ~100%](Exodus 25:1) ; [30:11 ~100%](Exodus 30:11) , [17 ~100%](Exodus 30:17) , [22 ~100%](Exodus 30:22) ; [31:1 ~100%](Exodus 31:1)
