version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
4	Genesis	5	11	473	T		!	crossref	[Genesis 5:8 ~84%](Genesis 5:8) , [14 ~86%](Genesis 5:14) , [17 ~78%](Genesis 5:17) , [20 ~87%](Genesis 5:20) , [23 ~80%](Genesis 5:23) , [27 ~83%](Genesis 5:27) , [31 ~81%](Genesis 5:31) ; [9:29 ~79%](Genesis 9:29)
4	Genesis	9	29	847	T		!	crossref	[Genesis 5:5 ~83%](Genesis 5:5) , [11 ~79%](Genesis 5:11) , [17 ~78%](Genesis 5:17) , [27 ~77%](Genesis 5:27)
4	Genesis	5	16	485	T		!	crossref	[Genesis 5:4 ~78%](Genesis 5:4) , [7 ~84%](Genesis 5:7) , [10 ~79%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [19 ~78%](Genesis 5:19) , [26 ~79%](Genesis 5:26) , [30 ~78%](Genesis 5:30) ; [11:11 ~76%](Genesis 11:11) , [13 ~77%](Genesis 11:13) , [15 ~83%](Genesis 11:15)
4	Genesis	5	16	485	T		!	crossref	[Genesis 11:17 ~79%](Genesis 11:17) , [19 ~81%](Genesis 11:19) , [21 ~79%](Genesis 11:21) , [25 ~78%](Genesis 11:25)
4	Genesis	5	19	493	T		!	crossref	[Genesis 5:4 ~86%](Genesis 5:4) , [7 ~82%](Genesis 5:7) , [10 ~79%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [16 ~78%](Genesis 5:16) , [30 ~76%](Genesis 5:30) ; [11:11 ~81%](Genesis 11:11) , [13 ~81%](Genesis 11:13) , [15 ~76%](Genesis 11:15) , [17 ~79%](Genesis 11:17)
4	Genesis	5	19	493	T		!	crossref	[Genesis 11:19 ~81%](Genesis 11:19) , [21 ~84%](Genesis 11:21) , [23 ~83%](Genesis 11:23) , [25 ~80%](Genesis 11:25)
4	Genesis	10	2	851	T		!	crossref	[Chronica_I 1:5 ~100%](Chronica_I 1:5)
4	Chronica_I	1	5	5	T		!	crossref	[Genesis 10:2 ~100%](Genesis 10:2)
4	Genesis	10	6	855	T		!	crossref	[Chronica_I 1:8 ~100%](Chronica_I 1:8)
4	Chronica_I	1	8	8	T		!	crossref	[Genesis 10:6 ~100%](Genesis 10:6)
4	Genesis	10	7	856	T		!	crossref	[Chronica_I 1:9 ~100%](Chronica_I 1:9)
4	Chronica_I	1	9	9	T		!	crossref	[Genesis 10:7 ~100%](Genesis 10:7)
4	Genesis	10	8	858	T		!	crossref	[Chronica_I 1:10 ~100%](Chronica_I 1:10)
4	Chronica_I	1	10	11	T		!	crossref	[Genesis 10:8 ~100%](Genesis 10:8)
4	Genesis	10	13	869	T		!	crossref	[Chronica_I 1:11 ~100%](Chronica_I 1:11)
4	Chronica_I	1	11	14	T		!	crossref	[Genesis 10:13 ~100%](Genesis 10:13)
4	Genesis	10	14	870	T		!	crossref	[Chronica_I 1:12 ~100%](Chronica_I 1:12)
4	Chronica_I	1	12	15	T		!	crossref	[Genesis 10:14 ~100%](Genesis 10:14)
4	Genesis	10	15	873	T		!	crossref	[Chronica_I 1:13 ~100%](Chronica_I 1:13)
4	Chronica_I	1	13	18	T		!	crossref	[Genesis 10:15 ~100%](Genesis 10:15)
4	Genesis	10	16	874	T		!	crossref	[Genesis 15:21 ~83%](Genesis 15:21) . [Chronica_I 1:14 ~100%](Chronica_I 1:14)
4	Genesis	15	21	1310	T		!	crossref	[Genesis 10:16 ~83%](Genesis 10:16) . [Chronica_I 1:14 ~83%](Chronica_I 1:14)
