version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
2016	Genesis	5	11	474	T		!	crossref	[Genesis 5:8 ~84%](Genesis 5:8) , [14 ~86%](Genesis 5:14) , [17 ~78%](Genesis 5:17) , [20 ~87%](Genesis 5:20) , [23 ~80%](Genesis 5:23) , [27 ~83%](Genesis 5:27) , [31 ~81%](Genesis 5:31) ; [9:29 ~79%](Genesis 9:29)
2016	Genesis	9	29	848	T		!	crossref	[Genesis 5:5 ~83%](Genesis 5:5) , [11 ~79%](Genesis 5:11) , [17 ~78%](Genesis 5:17) , [27 ~77%](Genesis 5:27)
2016	Genesis	5	16	486	T		!	crossref	[Genesis 5:4 ~78%](Genesis 5:4) , [7 ~84%](Genesis 5:7) , [10 ~79%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [19 ~78%](Genesis 5:19) , [26 ~79%](Genesis 5:26) , [30 ~78%](Genesis 5:30) ; [11:11 ~76%](Genesis 11:11) , [13 ~77%](Genesis 11:13) , [15 ~83%](Genesis 11:15)
2016	Genesis	5	16	486	T		!	crossref	[Genesis 11:17 ~79%](Genesis 11:17) , [19 ~81%](Genesis 11:19) , [21 ~79%](Genesis 11:21) , [25 ~78%](Genesis 11:25)
2016	Genesis	5	19	494	T		!	crossref	[Genesis 5:4 ~86%](Genesis 5:4) , [7 ~82%](Genesis 5:7) , [10 ~79%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [16 ~78%](Genesis 5:16) , [30 ~76%](Genesis 5:30) ; [11:11 ~81%](Genesis 11:11) , [13 ~81%](Genesis 11:13) , [15 ~76%](Genesis 11:15) , [17 ~79%](Genesis 11:17)
2016	Genesis	5	19	494	T		!	crossref	[Genesis 11:19 ~81%](Genesis 11:19) , [21 ~84%](Genesis 11:21) , [23 ~83%](Genesis 11:23) , [25 ~80%](Genesis 11:25)
2016	Genesis	10	2	852	T		!	crossref	[Chronica_I 1:5 ~100%](Chronica_I 1:5)
2016	Chronica_I	1	5	5	T		!	crossref	[Genesis 10:2 ~100%](Genesis 10:2)
2016	Genesis	10	6	858	T		!	crossref	[Chronica_I 1:8 ~100%](Chronica_I 1:8)
2016	Chronica_I	1	8	8	T		!	crossref	[Genesis 10:6 ~100%](Genesis 10:6)
2016	Genesis	10	7	859	T		!	crossref	[Chronica_I 1:9 ~100%](Chronica_I 1:9)
2016	Chronica_I	1	9	9	T		!	crossref	[Genesis 10:7 ~100%](Genesis 10:7)
2016	Genesis	10	8	861	T		!	crossref	[Chronica_I 1:10 ~100%](Chronica_I 1:10)
2016	Chronica_I	1	10	11	T		!	crossref	[Genesis 10:8 ~100%](Genesis 10:8)
2016	Genesis	10	13	872	T		!	crossref	[Chronica_I 1:11 ~100%](Chronica_I 1:11)
2016	Chronica_I	1	11	14	T		!	crossref	[Genesis 10:13 ~100%](Genesis 10:13)
2016	Genesis	10	14	873	T		!	crossref	[Chronica_I 1:12 ~100%](Chronica_I 1:12)
2016	Chronica_I	1	12	15	T		!	crossref	[Genesis 10:14 ~100%](Genesis 10:14)
2016	Genesis	10	15	876	T		!	crossref	[Chronica_I 1:13 ~100%](Chronica_I 1:13)
2016	Chronica_I	1	13	18	T		!	crossref	[Genesis 10:15 ~100%](Genesis 10:15)
2016	Genesis	10	16	877	T		!	crossref	[Genesis 15:21 ~83%](Genesis 15:21) . [Chronica_I 1:14 ~100%](Chronica_I 1:14)
2016	Genesis	15	21	1318	T		!	crossref	[Genesis 10:16 ~83%](Genesis 10:16) . [Chronica_I 1:14 ~83%](Chronica_I 1:14)
2016	Chronica_I	1	14	19	T		!	crossref	[Genesis 10:16 ~100%](Genesis 10:16) ; [15:21 ~83%](Genesis 15:21)
2016	Genesis	10	17	878	T		!	crossref	[Genesis 15:20 ~76%](Genesis 15:20) . [Chronica_I 1:15 ~100%](Chronica_I 1:15)
2016	Chronica_I	1	15	20	T		!	crossref	[Genesis 10:17 ~100%](Genesis 10:17) ; [15:20 ~76%](Genesis 15:20)
2016	Genesis	10	20	886	T		!	crossref	[Genesis 10:31 ~87%](Genesis 10:31)
2016	Genesis	10	31	904	T		!	crossref	[Genesis 10:20 ~87%](Genesis 10:20)
2016	Genesis	10	24	891	T		!	crossref	[Chronica_I 1:18 ~100%](Chronica_I 1:18)
2016	Chronica_I	1	18	23	T		!	crossref	[Genesis 10:24 ~100%](Genesis 10:24)
2016	Genesis	10	25	893	T		!	crossref	[Chronica_I 1:19 ~100%](Chronica_I 1:19)
2016	Chronica_I	1	19	25	T		!	crossref	[Genesis 10:25 ~100%](Genesis 10:25)
2016	Genesis	10	26	897	T		!	crossref	[Chronica_I 1:20 ~100%](Chronica_I 1:20)
2016	Chronica_I	1	20	29	T		!	crossref	[Genesis 10:26 ~100%](Genesis 10:26)
2016	Genesis	10	27	898	T		!	crossref	[Chronica_I 1:21 ~100%](Chronica_I 1:21) . [Chronica_II 11:9 ~78%](Chronica_II 11:9)
2016	Chronica_I	1	21	30	T		!	crossref	[Genesis 10:27 ~100%](Genesis 10:27) . [Chronica_II 11:9 ~78%](Chronica_II 11:9)
2016	Genesis	10	28	899	T		!	crossref	[Chronica_I 1:22 ~100%](Chronica_I 1:22)
2016	Chronica_I	1	22	31	T		!	crossref	[Genesis 10:28 ~100%](Genesis 10:28)
2016	Genesis	10	29	900	T		!	crossref	[Chronica_I 1:23 ~100%](Chronica_I 1:23)
2016	Chronica_I	1	23	32	T		!	crossref	[Genesis 10:29 ~100%](Genesis 10:29)
2016	Genesis	11	13	957	T		!	crossref	[Genesis 5:4 ~76%](Genesis 5:4) , [7 ~80%](Genesis 5:7) , [16 ~77%](Genesis 5:16) , [19 ~81%](Genesis 5:19) , [26 ~79%](Genesis 5:26) , [30 ~78%](Genesis 5:30) ; [11:15 ~86%](Genesis 11:15) , [17 ~89%](Genesis 11:17) , [19 ~79%](Genesis 11:19) , [21 ~79%](Genesis 11:21)
2016	Genesis	11	13	957	T		!	crossref	[Genesis 11:23 ~76%](Genesis 11:23) , [25 ~76%](Genesis 11:25)
2016	Genesis	11	15	963	T		!	crossref	[Genesis 5:4 ~75%](Genesis 5:4) , [7 ~79%](Genesis 5:7) , [10 ~76%](Genesis 5:10) , [16 ~83%](Genesis 5:16) , [19 ~76%](Genesis 5:19) , [26 ~83%](Genesis 5:26) , [30 ~78%](Genesis 5:30) ; [11:11 ~78%](Genesis 11:11) , [13 ~86%](Genesis 11:13) , [17 ~86%](Genesis 11:17)
2016	Genesis	11	15	963	T		!	crossref	[Genesis 11:19 ~83%](Genesis 11:19) , [21 ~80%](Genesis 11:21) , [23 ~75%](Genesis 11:23) , [25 ~77%](Genesis 11:25)
2016	Genesis	11	17	969	T		!	crossref	[Genesis 5:4 ~75%](Genesis 5:4) , [7 ~77%](Genesis 5:7) , [16 ~79%](Genesis 5:16) , [19 ~79%](Genesis 5:19) , [26 ~79%](Genesis 5:26) , [30 ~76%](Genesis 5:30) ; [11:11 ~75%](Genesis 11:11) , [13 ~89%](Genesis 11:13) , [15 ~86%](Genesis 11:15) , [19 ~78%](Genesis 11:19)
2016	Genesis	11	17	969	T		!	crossref	[Genesis 11:21 ~83%](Genesis 11:21) , [23 ~78%](Genesis 11:23) , [25 ~75%](Genesis 11:25)
2016	Genesis	11	21	981	T		!	crossref	[Genesis 5:4 ~80%](Genesis 5:4) , [7 ~84%](Genesis 5:7) , [10 ~78%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [16 ~79%](Genesis 5:16) , [19 ~84%](Genesis 5:19) , [30 ~78%](Genesis 5:30) ; [11:11 ~80%](Genesis 11:11) , [13 ~79%](Genesis 11:13) , [15 ~80%](Genesis 11:15)
2016	Genesis	11	21	981	T		!	crossref	[Genesis 11:17 ~83%](Genesis 11:17) , [19 ~88%](Genesis 11:19) , [23 ~78%](Genesis 11:23) , [25 ~84%](Genesis 11:25)
2016	Genesis	11	23	987	T		!	crossref	[Genesis 5:4 ~77%](Genesis 5:4) , [19 ~83%](Genesis 5:19) ; [11:11 ~79%](Genesis 11:11) , [13 ~76%](Genesis 11:13) , [15 ~75%](Genesis 11:15) , [17 ~78%](Genesis 11:17) , [19 ~80%](Genesis 11:19) , [21 ~78%](Genesis 11:21) , [25 ~77%](Genesis 11:25)
2016	Genesis	25	4	2514	T		!	crossref	[Chronica_I 1:33 ~100%](Chronica_I 1:33)
2016	Chronica_I	1	33	50	T		!	crossref	[Genesis 25:4 ~100%](Genesis 25:4)
2016	Genesis	25	31	2604	T		!	crossref	[Genesis 25:33 ~90%](Genesis 25:33)
2016	Genesis	25	33	2610	T		!	crossref	[Genesis 25:31 ~90%](Genesis 25:31)
2016	Genesis	30	10	3272	T		!	crossref	[Genesis 30:12 ~85%](Genesis 30:12)
2016	Genesis	30	12	3276	T		!	crossref	[Genesis 30:7 ~77%](Genesis 30:7) , [10 ~85%](Genesis 30:10)
2016	Genesis	36	21	4154	T		!	crossref	[Genesis 36:30 ~75%](Genesis 36:30)
2016	Genesis	36	30	4175	T		!	crossref	[Genesis 36:21 ~75%](Genesis 36:21)
2016	Genesis	36	22	4156	T		!	crossref	[Chronica_I 1:39 ~90%](Chronica_I 1:39)
2016	Chronica_I	1	39	58	T		!	crossref	[Genesis 36:22 ~90%](Genesis 36:22)
2016	Genesis	36	33	4182	T		!	crossref	[Chronica_I 1:44 ~100%](Chronica_I 1:44)
2016	Chronica_I	1	44	71	T		!	crossref	[Genesis 36:33 ~100%](Genesis 36:33)
2016	Genesis	36	34	4184	T		!	crossref	[Chronica_I 1:45 ~100%](Chronica_I 1:45)
2016	Chronica_I	1	45	73	T		!	crossref	[Genesis 36:34 ~100%](Genesis 36:34)
2016	Genesis	36	35	4186	T		!	crossref	[Chronica_I 1:46 ~100%](Chronica_I 1:46)
2016	Chronica_I	1	46	75	T		!	crossref	[Genesis 36:35 ~100%](Genesis 36:35)
2016	Genesis	36	36	4190	T		!	crossref	[Chronica_I 1:47 ~100%](Chronica_I 1:47)
2016	Chronica_I	1	47	79	T		!	crossref	[Genesis 36:36 ~100%](Genesis 36:36)
2016	Genesis	36	37	4192	T		!	crossref	[Chronica_I 1:48 ~100%](Chronica_I 1:48)
